"Date	Ref.	Potential Payout	Contract	Purchase Price	Sale Date	Sale Price	Profit/Loss (USD)	Details"
"2017-03-20 17:13:14 GMT	26456835288	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:13:30 GMT	0	-2	View"
"2017-03-20 17:12:56 GMT	26456825348	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:13:12 GMT	0	-1	View"
"2017-03-20 17:12:24 GMT	26456809688	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-20 17:12:54 GMT	15.54	7.54	View"
"2017-03-20 17:12:02 GMT	26456797408	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:12:22 GMT	0	-4	View"
"			View					"
"2017-03-20 17:11:44 GMT	26456787808	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:12:00 GMT	0	-2	View"
"			View					"
"2017-03-20 17:11:26 GMT	26456779348	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:11:42 GMT	0	-1	View"
"			View					"
"2017-03-20 17:11:08 GMT	26456769328	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:11:24 GMT	1.94	0.94	View"
"			View					"
"2017-03-20 17:10:50 GMT	26456759268	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:11:06 GMT	1.94	0.94	View"
"			View					"
"2017-03-20 17:10:32 GMT	26456750448	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:10:48 GMT	1.94	0.94	View"
"			View					"
"2017-03-20 17:10:14 GMT	26456741008	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:10:30 GMT	1.94	0.94	View"
"			View					"
"2017-03-20 17:09:56 GMT	26456725608	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:10:12 GMT	3.88	1.88	View"
"			View					"
"2017-03-20 17:09:38 GMT	26456716908	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:09:54 GMT	0	-1	View"
"			View					"
"2017-03-20 17:09:20 GMT	26456707908	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:09:36 GMT	3.88	1.88	View"
"			View					"
"2017-03-20 17:09:02 GMT	26456697208	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:09:18 GMT	0	-1	View"
"			View					"
"2017-03-17 04:30:16 GMT	26301953468	61.11	Win payout if Volatility 100 Index does not touch entry spot plus 32.28 through 2 minutes after contract start time.	50	2017-03-17 04:32:06 GMT	0	-50	View"
"			View					"
"2017-03-17 04:27:23 GMT	26301876108	76.48	Win payout if Volatility 100 Index does not touch entry spot plus 22.28 through 2 minutes after contract start time.	50	2017-03-17 04:28:28 GMT	0	-50	View"
"			View					"
"2017-03-17 04:21:12 GMT	26301711448	97.11	Win payout if Volatility 100 Index after 5 ticks is strictly higher than entry spot.	50	2017-03-17 04:21:24 GMT	97.11	47.11	View"
"			View					"
"2017-03-17 04:20:25 GMT	26301690588	90.92	Win payout if Australian Index is strictly higher than entry spot at 15 minutes after contract start time.	50	2017-03-17 04:35:36 GMT	0	-50	View"
"			View					"
"2017-03-16 00:39:44 GMT	26254827968	31.08	Win payout if Volatility 50 Index is strictly higher than entry spot at 45 seconds after contract start time.	16	2017-03-16 00:40:30 GMT	0	-16	View"
"			View					"
"2017-03-16 00:39:12 GMT	26254815328	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-16 00:39:42 GMT	0	-8	View"
"			View					"
"2017-03-16 00:38:48 GMT	26254805828	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-16 00:39:09 GMT	0	-4	View"
"			View					"
"2017-03-16 00:38:30 GMT	26254799228	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:38:47 GMT	0	-2	View"
"			View					"
"2017-03-16 00:38:12 GMT	26254792248	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:38:29 GMT	0	-1	View"
"			View					"
"2017-03-16 00:37:54 GMT	26254784208	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:38:10 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:37:36 GMT	26254776548	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:37:52 GMT	1.94	0.94	View"
"			View					"
